stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening F:\C-projects\C-games\blasteroids\SELF-CONTAINED\bin\Debug\allegro5.cfg r
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.48868] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.48872] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.48876] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   1.48880] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   1.48884] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   1.48888] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   1.48891] Chose bitmap format 9
font     D                ttf.c:238  alloc_glyph_region               [   1.48970] Glyph 48: 33x25 (36x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.48976] Locking glyph region: 035C9DA0 0 0 36 28
font     D                ttf.c:166  unlock_current_page              [   1.50004] Unlocking page: 035C9DA0
font     D                ttf.c:440  cache_glyph                      [   1.50012] Glyph 3 has zero size.
font     D                ttf.c:238  alloc_glyph_region               [   1.50019] Glyph 40: 24x25 (24x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.50020] Locking glyph region: 035C9DA0 36 0 24 28
font     D                ttf.c:166  unlock_current_page              [   1.50024] Unlocking page: 035C9DA0
font     D                ttf.c:238  alloc_glyph_region               [   1.50029] Glyph 49: 26x25 (28x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.50031] Locking glyph region: 035C9DA0 60 0 28 28
font     D                ttf.c:166  unlock_current_page              [   1.50033] Unlocking page: 035C9DA0
font     D                ttf.c:238  alloc_glyph_region               [   1.50039] Glyph 56: 26x25 (28x28)
font     D                ttf.c:282  alloc_glyph_region               [   1.50040] Locking glyph region: 035C9DA0 88 0 28 28
font     D                ttf.c:166  unlock_current_page              [   1.50043] Unlocking page: 035C9DA0
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50063] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50064] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50071] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50072] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50073] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50074] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50075] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50076] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   1.50077] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   1.50078] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   1.50079] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   1.50080] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   1.50081] Chose bitmap format 9
font     D                ttf.c:238  alloc_glyph_region               [   1.50104] Glyph 25: 22x30 (24x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50106] Locking glyph region: 035C9C48 0 0 24 32
font     D                ttf.c:166  unlock_current_page              [   1.50268] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50281] Glyph 4: 25x29 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50283] Locking glyph region: 035C9C48 24 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50287] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50293] Glyph 18: 27x29 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50294] Locking glyph region: 035C9C48 52 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50301] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50313] Glyph 8: 13x29 (16x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50315] Locking glyph region: 035C9C48 80 0 16 32
font     D                ttf.c:166  unlock_current_page              [   1.50326] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50335] Glyph 13: 29x29 (32x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50337] Locking glyph region: 035C9C48 96 0 32 32
font     D                ttf.c:166  unlock_current_page              [   1.50343] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50352] Glyph 6: 21x29 (24x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50353] Locking glyph region: 035C9C48 128 0 24 32
font     D                ttf.c:166  unlock_current_page              [   1.50357] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50367] Glyph 11: 25x29 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50368] Locking glyph region: 035C9C48 152 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50385] Unlocking page: 035C9C48
font     D                ttf.c:440  cache_glyph                      [   1.50391] Glyph 3 has zero size.
font     D                ttf.c:238  alloc_glyph_region               [   1.50400] Glyph 15: 26x29 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50402] Locking glyph region: 035C9C48 180 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50405] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50412] Glyph 174: 24x29 (24x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50413] Locking glyph region: 035C9C48 208 0 24 32
font     D                ttf.c:166  unlock_current_page              [   1.50417] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50423] Glyph 23: 28x29 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50425] Locking glyph region: 035C9C48 232 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50428] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50438] Glyph 17: 26x30 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50442] Locking glyph region: 035C9C48 260 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50527] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50541] Glyph 12: 35x29 (36x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50543] Locking glyph region: 035C9C48 288 0 36 32
font     D                ttf.c:166  unlock_current_page              [   1.50590] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50609] Glyph 19: 28x29 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50611] Locking glyph region: 035C9C48 324 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50617] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50633] Glyph 78: 15x8 (16x8)
font     D                ttf.c:282  alloc_glyph_region               [   1.50634] Locking glyph region: 035C9C48 352 0 16 8
font     D                ttf.c:166  unlock_current_page              [   1.50637] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50649] Glyph 173: 20x29 (20x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50651] Locking glyph region: 035C9C48 368 0 20 32
font     D                ttf.c:166  unlock_current_page              [   1.50686] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50706] Glyph 14: 23x29 (24x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50709] Locking glyph region: 035C9C48 388 0 24 32
font     D                ttf.c:166  unlock_current_page              [   1.50720] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50738] Glyph 172: 26x29 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50742] Locking glyph region: 035C9C48 412 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50752] Unlocking page: 035C9C48
font     D                ttf.c:238  alloc_glyph_region               [   1.50773] Glyph 62: 26x29 (28x32)
font     D                ttf.c:282  alloc_glyph_region               [   1.50777] Locking glyph region: 035C9C48 440 0 28 32
font     D                ttf.c:166  unlock_current_page              [   1.50786] Unlocking page: 035C9C48
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.51164] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.51173] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.51270] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.51272] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.51301] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.51304] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.51337] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.51339] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.51359] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.51360] _al_d3d_sync_bitmap (video) ref count == 1
audio    W         kcm_stream.c:641  _al_kcm_refill_stream            [   1.51398] Out of buffers
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.51899] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.51902] _al_d3d_sync_bitmap (video) ref count == 1
d3d      D          d3d_bmp.cpp:539  _al_d3d_sync_bitmap              [   1.52980] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:545  _al_d3d_sync_bitmap              [   1.52985] _al_d3d_sync_bitmap (video) ref count == 1
dtor     D               dtor.c:196  _al_register_destructor          [   1.53160] added dtor for sub_bitmap 035C92E0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.54503] added dtor for sub_bitmap 035C9438, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.56102] added dtor for sub_bitmap 035C96E8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.57801] added dtor for sub_bitmap 035C9998, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.59512] added dtor for sub_bitmap 0B892D28, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.61083] added dtor for sub_bitmap 0B892E80, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.62761] added dtor for sub_bitmap 0B92DBE8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.64418] added dtor for sub_bitmap 0B92DD40, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.66096] added dtor for sub_bitmap 0B92DE98, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.67802] added dtor for sub_bitmap 0B92D530, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.69493] added dtor for sub_bitmap 0B92CD20, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.71096] added dtor for sub_bitmap 0B92DFF0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.72797] added dtor for sub_bitmap 0B92E800, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.74499] added dtor for sub_bitmap 0B92EAB0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.76099] added dtor for sub_bitmap 0B92D128, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.77801] added dtor for sub_bitmap 0B92E550, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.79500] added dtor for sub_bitmap 0B92F168, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.81096] added dtor for sub_bitmap 0B92CE78, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.82786] added dtor for sub_bitmap 0B92EC08, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.84493] added dtor for sub_bitmap 0B92ED60, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.86090] added dtor for sub_bitmap 0B92D688, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.87785] added dtor for sub_bitmap 0B92E2A0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.89418] added dtor for sub_bitmap 0B92D7E0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.91086] added dtor for sub_bitmap 0B92E6A8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.92790] added dtor for sub_bitmap 0B92D938, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.94484] added dtor for sub_bitmap 0B92D3D8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.96086] added dtor for sub_bitmap 0B92CFD0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.97784] added dtor for sub_bitmap 0B92E958, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   1.99418] added dtor for sub_bitmap 0B92DA90, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.01085] added dtor for sub_bitmap 0B92D280, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.02784] added dtor for sub_bitmap 0B92E148, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.04483] added dtor for sub_bitmap 0B92EEB8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.06179] added dtor for sub_bitmap 0B92E3F8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.07773] added dtor for sub_bitmap 0B92F010, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.09473] added dtor for sub_bitmap 0B92F2C0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.11085] added dtor for sub_bitmap 0B92F418, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.12776] added dtor for sub_bitmap 0B92F570, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.14477] added dtor for sub_bitmap 0B92F6C8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.16177] added dtor for sub_bitmap 0B930590, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.17769] added dtor for sub_bitmap 0B92F820, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.19469] added dtor for sub_bitmap 0B92FD80, func 61CC1C7B
dinput   D         wjoydxnu.cpp:860  joystick_enum_callback           [   2.19924] Device 64168f90-f8e9-11ea-8014445535400 still exists
dtor     D               dtor.c:196  _al_register_destructor          [   2.21083] added dtor for sub_bitmap 0B9306E8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.22775] added dtor for sub_bitmap 0B930438, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.24473] added dtor for sub_bitmap 0B930998, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.26163] added dtor for sub_bitmap 0B930188, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.27753] added dtor for sub_bitmap 0B92FAD0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.29418] added dtor for sub_bitmap 0B930AF0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.31085] added dtor for sub_bitmap 0B92F978, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.32769] added dtor for sub_bitmap 0B930840, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.34467] added dtor for sub_bitmap 0B92FC28, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.36159] added dtor for sub_bitmap 0B92FED8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.37771] added dtor for sub_bitmap 0B930030, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.39498] added dtor for sub_bitmap 0B9302E0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.42473] added dtor for sub_bitmap 0B935440, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.42756] added dtor for sub_bitmap 0B9352E8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.44461] added dtor for sub_bitmap 0B9361B0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.46155] added dtor for sub_bitmap 0B935AF8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.47753] added dtor for sub_bitmap 0B935598, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.49456] added dtor for sub_bitmap 0B935F00, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.51159] added dtor for sub_bitmap 0B935038, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.52855] added dtor for sub_bitmap 0B935190, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.54452] added dtor for sub_bitmap 0B9356F0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.56153] added dtor for sub_bitmap 0B935848, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.57848] added dtor for sub_bitmap 0B9359A0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.59447] added dtor for sub_bitmap 0B935C50, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.61154] added dtor for sub_bitmap 0B936308, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.62844] added dtor for sub_bitmap 0B935DA8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.64452] added dtor for sub_bitmap 0B936058, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.66145] added dtor for sub_bitmap 0B932940, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.67849] added dtor for sub_bitmap 0B933EC0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.69444] added dtor for sub_bitmap 0B932EA0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.71139] added dtor for sub_bitmap 0B934018, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.72841] added dtor for sub_bitmap 0B934980, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.74436] added dtor for sub_bitmap 0B934C30, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.76143] added dtor for sub_bitmap 0B932538, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.77836] added dtor for sub_bitmap 0B934D88, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.79438] added dtor for sub_bitmap 0B934EE0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.81137] added dtor for sub_bitmap 0B9346D0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.82838] added dtor for sub_bitmap 0B932690, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.84429] added dtor for sub_bitmap 0B9327E8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.86126] added dtor for sub_bitmap 0B9336B0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.87830] added dtor for sub_bitmap 0B932A98, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.89430] added dtor for sub_bitmap 0B932BF0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.91129] added dtor for sub_bitmap 0B934170, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.92831] added dtor for sub_bitmap 0B932D48, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.94430] added dtor for sub_bitmap 0B933808, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.96121] added dtor for sub_bitmap 0B933C10, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.97822] added dtor for sub_bitmap 0B933400, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   2.99421] added dtor for sub_bitmap 0B9332A8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.01085] added dtor for sub_bitmap 0B934AD8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.02752] added dtor for sub_bitmap 0B932FF8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.04423] added dtor for sub_bitmap 0B933150, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.06128] added dtor for sub_bitmap 0B933D68, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.07816] added dtor for sub_bitmap 0B933AB8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.09425] added dtor for sub_bitmap 0B9342C8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.11125] added dtor for sub_bitmap 0B933558, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.12822] added dtor for sub_bitmap 0B933960, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.14421] added dtor for sub_bitmap 0B934420, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.16117] added dtor for sub_bitmap 0B934578, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.17752] added dtor for sub_bitmap 0B934828, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.19434] added dtor for sub_bitmap 0B939448, func 61CC1C7B
dinput   D         wjoydxnu.cpp:860  joystick_enum_callback           [   3.20786] Device 64168f90-f8e9-11ea-8014445535400 still exists
dtor     D               dtor.c:196  _al_register_destructor          [   3.21134] added dtor for sub_bitmap 0B93B738, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.22801] added dtor for sub_bitmap 0B93B488, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.24430] added dtor for sub_bitmap 0B9395A0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.26128] added dtor for sub_bitmap 0B93A060, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.27828] added dtor for sub_bitmap 0B939C58, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.29418] added dtor for sub_bitmap 0B939040, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.31085] added dtor for sub_bitmap 0B939F08, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.32788] added dtor for sub_bitmap 0B9392F0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.34438] added dtor for sub_bitmap 0B939B00, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.36235] added dtor for sub_bitmap 0B939850, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.37834] added dtor for sub_bitmap 0B9396F8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.39442] added dtor for sub_bitmap 0B939198, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.41130] added dtor for sub_bitmap 0B93B5E0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.42828] added dtor for sub_bitmap 0B93B080, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.44427] added dtor for sub_bitmap 0B93B330, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.46125] added dtor for sub_bitmap 0B93A468, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.47752] added dtor for sub_bitmap 0B93A5C0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.49424] added dtor for sub_bitmap 0B9399A8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.51122] added dtor for sub_bitmap 0B93A9C8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.52827] added dtor for sub_bitmap 0B939DB0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.54419] added dtor for sub_bitmap 0B93AB20, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.56085] added dtor for sub_bitmap 0B93B890, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.57752] added dtor for sub_bitmap 0B93B9E8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.59426] added dtor for sub_bitmap 0B93AC78, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.61123] added dtor for sub_bitmap 0B93A1B8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.62815] added dtor for sub_bitmap 0B93A310, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.64514] added dtor for sub_bitmap 0B93B1D8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.66113] added dtor for sub_bitmap 0B93A718, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.67818] added dtor for sub_bitmap 0B93A870, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.69417] added dtor for sub_bitmap 0B93ADD0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.71114] added dtor for sub_bitmap 0B93AF28, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.72752] added dtor for sub_bitmap 0B93C0A0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.74417] added dtor for sub_bitmap 0B93D4C8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.76117] added dtor for sub_bitmap 0B93E238, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.77815] added dtor for sub_bitmap 0B93CB60, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.79515] added dtor for sub_bitmap 0B93E0E0, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.81113] added dtor for sub_bitmap 0B93C350, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.82812] added dtor for sub_bitmap 0B93CCB8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.84512] added dtor for sub_bitmap 0B93D218, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.86103] added dtor for sub_bitmap 0B93C4A8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.87802] added dtor for sub_bitmap 0B93C1F8, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.89419] added dtor for sub_bitmap 0B93E390, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.91102] added dtor for sub_bitmap 0B93BB40, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.92800] added dtor for sub_bitmap 0B93BC98, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.94501] added dtor for sub_bitmap 0B93D370, func 61CC1C7B
dtor     D               dtor.c:196  _al_register_destructor          [   3.96096] added dtor for sub_bitmap 0B93CF68, func 61CC1C7B
